test_y,predicted_values
1408.8235,1356.2302
1438.2352,1426.0594
1452.9412,1457.1649
1438.2352,1469.443
1367.647,1438.6293
1391.1764,1363.6433
1311.7646,1373.0063
1291.1765,1314.6641
1311.7646,1308.7396
1320.5881,1341.0537
1444.1177,1373.0253
1464.7058,1464.8062
1526.4706,1469.9004
1482.3529,1507.5184
1502.9412,1457.5729
1473.5294,1458.8838
1455.8823,1449.9172
1402.9412,1425.0281
1447.0588,1385.8231
1458.8235,1402.9944
1314.7058,1433.4802
1347.0588,1326.224
1297.0588,1345.5471
1300.0,1324.2754
1350.0,1344.065
1400.0,1394.2281
1426.4706,1415.0011
1382.3529,1432.3809
1361.7646,1367.166
1305.8823,1349.9246
1314.7058,1287.5869
1294.1177,1298.9409
1308.8235,1305.1849
1285.2941,1337.0459
1341.1765,1353.7694
1432.3529,1384.046
1417.647,1454.5065
1411.7646,1440.3701
1317.647,1424.2842
1341.1765,1328.4609
1264.7058,1314.9653
1276.4706,1250.5576
1208.8235,1253.0144
1191.1764,1210.4341
1238.2352,1187.6045
1261.7646,1225.3893
1270.5881,1249.7083
1241.1765,1275.5884
1264.7058,1275.5571
1320.5881,1297.5378
1402.9412,1335.8655
1373.5294,1377.0491
1400.0,1356.867
1347.0588,1368.9744
1291.1765,1321.2356
1297.0588,1280.2192
1273.5293,1293.4849
1267.647,1309.0686
1352.9412,1325.5098
1388.2352,1380.6953
1432.3529,1393.0225
1414.7058,1416.2457
1405.8823,1394.1382
1376.4706,1373.2375
1379.4117,1331.9204
1300.0,1323.1548
1238.2352,1282.3248
1276.4706,1239.6372
1294.1177,1276.8839
1226.4705,1293.4974
1276.4706,1244.5625
1214.7058,1284.5757
1270.5881,1263.0906
1355.8823,1308.3702
1476.4706,1366.4272
1488.2352,1445.7379
1417.647,1447.5151
1452.9412,1379.0931
1391.1764,1394.8346
1420.5883,1354.867
1329.4117,1391.9586
1323.5293,1345.5112
1397.0588,1361.3223
1473.5294,1416.4514
1500.0,1466.225
1467.647,1486.1875
1505.8823,1439.1732
1420.5883,1452.5519
1350.0,1377.27
1244.1177,1307.7722
1726.4706,1228.4205
1489.7058,1599.1615
1252.9412,1466.7751
1191.1764,1281.9967
1217.647,1207.785
1279.4116,1230.001
1297.0588,1297.7773
1367.647,1351.0642
1441.1764,1418.1842
1476.4706,1436.7559
1502.9412,1441.0852
1420.5883,1453.4451
1344.1177,1374.7396
1388.2352,1335.9684
1341.1765,1353.9617
1358.8235,1362.7747
1432.3529,1421.1772
1541.1765,1475.1304
1517.647,1530.8394
1544.1177,1495.2115
1485.2941,1527.1693
1517.647,1455.9739
1455.8823,1464.5283
1308.8235,1415.0479
1291.1765,1337.4124
1258.8235,1266.7498
1326.4705,1216.6196
1258.8235,1284.2188
1323.5293,1262.5537
1250.0,1330.4536
1355.8823,1289.068
1376.4706,1384.628
1497.0588,1421.8188
1455.8823,1487.5884
1435.2941,1438.1318
1426.4706,1405.6731
1405.8823,1412.7373
1282.3529,1388.7325
1282.3529,1296.0271
1326.4705,1318.5654
1402.9412,1376.2356
1511.7646,1449.067
1517.647,1504.982
1532.3529,1509.6101
1538.2352,1501.9546
1473.5294,1485.3649
1405.8823,1425.0171
1285.2941,1356.7085
1211.7646,1304.6301
1205.8823,1238.5225
1247.0588,1218.4316
1223.5293,1240.0211
1264.7058,1245.668
1229.4117,1273.9713
1308.8235,1271.3545
1300.0,1348.7124
1435.2941,1350.5234
1497.0588,1431.2083
1520.5881,1462.3021
1485.2941,1481.5289
1429.4117,1435.4354
1382.3529,1400.8927
1347.0588,1370.2302
1314.7058,1366.4202
1405.8823,1372.2426
1502.9412,1453.6511
1541.1765,1525.2316
1538.2352,1538.5852
1479.4117,1518.3634
1523.5294,1450.1626
1385.2941,1458.4363
1444.1177,1351.0801
1376.4706,1409.4807
1308.8235,1372.1998
1329.4117,1315.413
1367.647,1327.292
1323.5293,1359.7927
1305.8823,1326.6301
1355.8823,1333.4688
1541.1765,1400.4742
1591.1765,1551.383
1608.8235,1583.4773
1505.8823,1583.3378
1447.0588,1483.2327
1420.5883,1418.6326
1402.9412,1396.7509
1408.8235,1383.8563
1402.9412,1432.453
1529.4117,1463.0975
1617.647,1572.3674
1597.0588,1621.6979
1652.9412,1612.2797
1541.1765,1617.4376
1514.7058,1520.3114
1505.8823,1459.6897
1417.647,1463.3752
1423.5293,1421.7001
1417.647,1415.1597
1470.5881,1411.9791
1429.4117,1447.3091
1332.3529,1425.763
1326.4705,1368.5833
1405.8823,1390.2703
1476.4706,1459.7692
1550.0,1516.9531
1558.8235,1546.6301
1367.647,1524.0166
1279.4116,1374.6074
1276.4706,1299.4753
1350.0,1301.3002
1326.4705,1361.282
1311.7646,1382.0725
1473.5294,1405.5137
1508.8235,1530.5781
1582.3529,1538.1863
1541.1765,1592.8928
1511.7646,1524.9823
1476.4706,1480.161
1452.9412,1423.2949
