test_y,predicted_values
29756.69,31133.012
27970.14,28333.146
26509.508,26247.176
25129.543,24519.96
23070.81,22702.787
22076.268,20715.293
20454.578,20021.434
19223.838,18728.676
18935.88,17935.062
18400.105,17985.012
18668.238,17951.416
18780.846,18838.025
20530.0,19795.371
22161.127,21779.184
21904.86,24337.262
23124.19,24679.182
24678.697,25306.441
27303.873,26142.863
29207.781,28606.045
28792.219,30391.81
29972.113,29577.215
29647.553,30396.44
29322.992,29733.703
28998.434,28724.574
28673.873,27791.76
26679.93,27329.926
25420.986,25140.83
24006.69,23526.975
22398.662,21951.793
20883.873,20568.61
19923.275,19543.566
19118.908,18891.922
17874.578,18411.264
17342.395,17477.191
17983.205,17262.49
19462.254,18411.81
19301.867,20141.996
20618.592,20483.637
23199.12,22073.615
25686.62,25182.873
27243.943,27828.307
29402.184,29260.645
30547.605,31105.502
31658.168,31809.467
32144.86,32527.871
32550.668,32606.574
32524.719,32544.424
31828.062,31968.379
30289.473,30989.066
27572.992,29332.16
26353.732,26537.918
25079.049,24812.94
23639.33,23284.266
22164.402,21933.2
21255.598,20985.363
20664.297,20440.693
20123.062,20105.19
19363.662,19769.7
19947.254,19526.432
21831.725,20562.115
22786.76,22502.492
23363.135,23950.625
25805.387,25085.994
28676.514,27880.771
30542.64,30733.111
32568.38,32271.113
34072.29,33975.312
35836.445,35154.7
36563.203,36222.777
37567.36,36164.207
37173.203,36761.992
36779.047,35669.17
34755.633,34822.387
32546.902,32764.059
31059.084,30601.023
27791.338,28996.75
25586.092,25944.404
23249.965,23652.16
21858.38,21955.414
20731.797,21085.34
20103.486,20145.951
19525.176,19847.68
19933.31,19910.416
21484.367,20886.87
23554.402,22637.088
24418.275,24712.082
25957.57,26168.143
29042.64,27930.127
32533.414,30882.562
34709.086,34329.15
35958.098,36320.88
37103.273,36731.71
39256.516,37768.47
39169.61,39493.133
39428.168,38820.21
38696.76,37984.46
35575.387,36432.586
32995.598,33102.094
30222.078,30478.63
28035.352,27932.125
26391.373,25743.36
25586.338,23989.285
22777.922,23491.803
21774.648,21207.883
20648.732,20643.438
20139.297,20132.074
20369.93,20227.271
21356.338,21146.543
23359.93,22582.074
23725.986,24790.748
26195.775,25540.139
28667.816,28323.258
31635.951,30852.842
33951.094,33445.07
35844.86,35317.277
37594.65,36819.094
38997.887,38377.81
39337.324,39106.12
39350.35,38810.21
37485.914,37851.09
35555.457,35551.71
33035.883,33273.242
31397.078,30632.023
29089.154,28981.242
26799.824,26987.105
24787.254,25038.703
22772.746,23056.195
21538.346,21337.041
20353.908,20496.875
19737.078,19683.37
20005.281,19892.777
21972.184,20777.156
23625.951,22870.717
23311.514,24654.229
24373.451,25292.812
28490.598,26687.055
32611.021,30293.777
34368.484,34125.04
35154.613,35758.81
36464.367,36333.977
37295.246,37265.758
38334.156,37480.188
38159.93,37719.992
38110.492,36737.11
35677.71,35996.13
33321.617,33443.32
31100.035,31064.059
28479.19,28742.283
25797.887,26185.428
23387.5,23716.287
22671.725,21571.238
21313.31,21107.76
20659.613,20230.715
19979.719,19986.96
20045.562,19964.703
21044.12,20741.877
22079.154,22005.395
22703.346,22924.28
24855.598,24221.229
27542.57,26623.248
30168.451,29092.352
32298.627,31506.652
33808.695,32939.656
34799.79,34480.94
35692.36,35408.195
36350.35,35782.766
36230.105,35744.746
35203.027,34943.59
32993.414,33329.688
29868.31,30898.555
27487.816,27776.793
25506.092,25161.037
23675.105,22985.854
21569.014,21123.855
20353.275,19414.791
19790.387,18285.697
19214.648,18222.764
18277.5,18115.605
17816.797,17716.2
18772.254,18022.166
19402.5,19220.115
20744.014,20061.496
22974.965,22012.078
25610.035,24777.123
27436.795,27636.469
28837.008,28840.877
30273.379,30094.121
31280.492,31574.535
31995.457,32216.148
31261.453,32118.055
30527.447,30606.098
29793.441,29201.229
29059.438,28015.215
27082.36,26917.365
24928.17,24885.264
23757.605,22732.238
22057.184,21387.42
20538.346,19879.525
19763.697,18833.225
18635.21,18274.086
17681.902,17255.69
17494.684,16651.727
16842.113,16999.176
18179.648,17141.78
18295.0,18495.81
18932.113,19146.115
20503.346,20833.756
23363.486,22949.047
25099.824,25700.121
26974.754,26696.49
27715.281,27966.756
28012.605,28412.176
27431.443,28476.254
26850.281,27619.506
26269.12,26695.92
25687.957,25395.469
23909.438,24499.908
21942.395,22560.652
20664.79,20614.656
19742.078,19081.367
18504.578,18001.996
17424.684,16814.852
16745.635,15963.789
16611.338,15409.187
15577.888,15328.771
15478.697,14820.72
16506.057,15100.571
17407.992,16643.316
18338.416,17508.797
18817.676,18778.781
20989.402,20072.613
23475.74,22796.541
25903.486,25318.47
27863.979,27219.832
27790.387,28559.627
28202.29,28205.629
28654.438,28233.668
28733.168,28252.91
28929.402,28196.15
27913.943,27885.576
25995.035,26558.47
24263.275,24501.54
22281.62,22500.201
20697.57,20406.928
18989.084,18753.996
17829.473,16982.309
17070.598,16276.604
16588.557,15853.396
16083.662,15590.29
15615.704,15543.215
15346.162,15471.527
16066.654,15889.436
17153.309,16711.637
17303.908,17671.475
18915.07,18721.664
22081.268,20904.246
24803.592,24231.826
25575.633,26255.146
27296.76,26649.754
28362.324,27788.738
28970.105,28639.3
29302.781,28928.25
29278.557,28725.97
28409.367,28235.0
26317.5,26830.115
23998.662,24435.309
21977.887,21990.738
20656.725,20073.775
19331.268,18667.465
18257.43,17551.986
17114.824,16781.83
16421.303,15815.593
15760.704,15233.369
15413.415,15088.667
15264.93,15287.778
15974.789,15881.873
17162.43,16660.922
17670.387,17761.924
20261.127,19269.27
23660.492,22502.625
25949.367,25769.393
26949.543,27686.045
28254.93,28308.707
29835.916,29347.62
30579.473,30436.318
31762.29,30684.459
30851.678,31144.059
29941.068,29848.02
29030.457,28228.6
26743.062,26876.572
25127.465,24703.248
23203.697,23218.098
20811.057,21329.562
19679.543,19167.047
18426.057,18300.389
17618.592,17267.836
17177.008,16796.127
16609.086,16623.25
17505.316,16751.922
19028.346,18018.713
19999.86,19651.86
19259.049,20971.396
21947.008,21497.205
24975.352,24746.97
28118.627,27503.887
29869.225,29976.207
31261.725,31147.818
32763.838,32495.814
33104.367,33600.914
34309.754,33513.89
33300.81,33951.203
32291.867,32465.684
31282.922,30768.17
28981.832,29093.633
26646.797,26677.273
24633.592,24563.9
22588.557,22568.346
20623.662,20729.018
19895.703,19268.637
19471.832,18963.113
18344.824,18811.787
18057.64,18065.008
18503.521,18180.508
19645.492,19174.215
21829.154,20456.61
21504.543,22691.307
23067.605,23813.662
25654.824,25804.832
30388.451,27924.963
31674.473,32138.955
33336.83,33084.082
35322.43,34665.363
36104.93,35953.67
35362.562,36135.164
34620.195,34965.785
33877.824,33676.27
33135.457,32268.543
30319.26,30738.166
28018.486,28048.408
25893.416,26146.652
23965.21,24059.014
22822.148,22217.078
21728.062,21477.195
21396.479,21177.166
21337.395,21059.953
21592.5,20895.326
21809.014,21486.738
23187.922,22347.66
24160.916,23770.998
24908.943,24832.477
24623.486,26644.271
26683.451,27352.01
29070.916,29355.793
31625.281,30869.605
32910.035,33139.78
33752.465,34266.812
34534.65,34471.23
34030.984,34557.66
33527.324,33685.97
33023.66,33015.863
32542.395,32048.797
29936.197,30689.057
28435.916,28258.402
26647.922,27020.832
25029.79,25415.332
23386.973,23936.504
22120.422,22834.82
21192.219,21908.39
20942.852,21050.244
20176.762,20733.617
20314.262,20560.3
21817.43,21076.387
22037.64,22549.65
23187.043,23121.727
25400.527,24890.744
27035.492,27851.148
29003.346,29950.92
31614.543,31555.691
33423.906,33489.258
33284.895,35177.094
34077.008,34479.58
33484.473,34446.695
32891.938,33565.938
32299.402,32522.55
30388.027,31461.55
28358.309,29097.197
26843.486,26803.285
25471.338,25141.66
23747.43,23660.074
22235.457,21936.102
21148.31,20767.191
20685.775,19974.01
20662.043,19679.164
20862.36,19901.168
21147.113,20793.586
23549.93,21776.736
25412.57,23752.777
25059.049,25835.107
25962.219,26336.531
28612.148,27746.836
31803.873,30735.0
33708.555,33502.152
34584.117,34802.25
35000.844,35134.98
35515.14,35134.355
35590.316,34959.574
35004.86,34498.06
34035.527,33637.11
31742.605,32295.25
