test_y,predicted_values
19145.33,19122.42
18516.08,18471.807
17654.0,18153.035
18368.469,18149.33
18957.262,18999.74
19546.057,18786.562
20134.85,18910.256
19229.85,19210.29
18616.398,18535.736
18071.45,18155.031
17876.818,17917.166
18142.5,18146.492
17669.52,18237.715
17837.41,17715.877
18005.299,18285.201
19693.28,18706.025
20858.1,19852.797
20149.719,20760.633
20278.75,20384.309
20394.57,20326.883
20616.67,20209.332
20735.379,20379.125
20494.979,20519.342
19902.049,19914.537
19301.85,18956.477
18726.92,18399.027
18032.25,18199.133
18226.42,18329.594
19572.148,18789.205
20917.879,19338.943
20459.03,20188.375
19697.95,19785.814
18931.049,19070.727
17710.719,18433.99
17866.18,17490.941
18497.78,17783.316
19071.83,18405.895
18291.773,19208.371
17511.719,19092.85
18857.2,18546.49
20029.979,19274.58
19255.219,19884.49
19596.17,19385.957
19983.379,19438.338
19528.719,19811.42
19743.35,19648.832
19324.2,19665.86
19058.53,18939.744
18092.67,18170.223
17662.08,17485.404
17345.469,17336.27
17107.35,17656.854
19826.95,17716.96
19630.67,19361.049
19162.719,19235.201
18683.52,18653.965
18201.28,18013.557
18097.799,17452.11
17966.049,17600.555
18745.365,17633.795
19524.682,18657.535
20303.998,19378.002
21083.312,20572.863
21862.629,21905.078
21037.799,22721.88
20212.969,21699.885
20877.92,20653.473
20652.049,20811.719
20820.78,20531.674
21024.25,20507.9
21058.02,20545.598
20741.5,20428.494
20413.95,19749.197
19847.33,19299.51
19029.92,18971.398
18386.129,18905.457
17844.379,18858.547
17040.379,17731.125
16450.549,16509.355
15999.27,15835.656
15050.629,15542.045
15359.686,14932.435
15668.742,15200.476
15977.799,15852.287
16045.499,16273.987
16359.249,16321.2
17182.719,16849.275
18339.92,17897.375
19767.42,18814.857
20743.328,19909.691
21091.95,20907.375
21477.95,21115.77
21573.82,21553.014
21559.078,21688.883
21507.549,21574.576
21215.28,21045.55
20942.5,20299.139
19726.469,19981.473
19603.148,19127.973
18735.549,19180.643
18191.898,18700.45
17434.129,17841.049
17007.398,16694.268
16594.7,16204.33
16835.416,15941.601
17076.13,16480.297
17316.848,17147.764
17557.562,17916.4
17798.28,18107.588
18442.469,18169.861
20004.77,19112.912
20921.25,20825.613
21064.129,21683.91
19702.5,21430.078
20327.049,19951.86
19613.0,19977.242
19039.03,19498.234
20745.85,19080.959
20596.33,20504.104
19968.78,20248.258
19525.85,19299.826
19166.7,18630.092
19450.2,18707.969
19448.25,19315.787
20033.139,19710.834
20618.03,19932.732
19863.45,20037.318
19506.57,19298.709
19036.43,18931.258
18734.25,18500.82
18710.42,18333.373
19114.799,18540.357
19328.879,18915.752
19250.014,19303.447
19171.148,19488.418
20532.0,19375.88
22280.35,20547.223
21364.67,21976.988
21721.398,21527.45
22004.0,21335.467
22447.219,21911.697
22328.398,22678.77
21823.828,22253.697
21248.799,21422.707
20417.08,20632.02
19935.28,19961.553
18044.95,19753.71
18504.93,18399.027
22006.379,18844.791
21101.33,21247.889
19900.1,20724.91
19720.148,19595.592
18955.92,19148.996
18679.379,18797.875
18529.0,18553.66
18834.898,18318.133
19709.67,19016.154
19056.184,19869.793
18402.7,19853.648
19793.479,19443.195
21037.148,20086.154
20425.68,20907.049
20512.299,20664.186
20980.35,20281.508
21115.75,20773.578
21262.7,20946.89
21082.17,20606.996
20810.469,20396.422
19987.578,20096.174
19415.969,19412.756
18609.379,19129.822
18961.1,19178.408
19503.266,19793.07
20045.434,19628.053
20587.6,19498.861
19793.78,19754.336
19130.898,19225.96
18867.17,18660.184
18803.879,18429.28
19401.0,18639.627
20264.578,19155.682
20096.162,19849.395
19927.746,20535.307
19759.33,20640.838
19885.215,20044.512
20011.1,19566.662
20682.549,19785.295
20944.25,20534.184
21279.42,20981.975
21411.6,21341.654
21216.398,21189.383
20706.648,20638.826
20106.299,19703.824
19393.02,19097.865
18470.568,18889.746
19277.549,18884.824
20024.79,19874.844
20772.03,20151.66
20317.2,20455.822
19454.469,19882.438
19229.148,18984.48
18887.979,18780.42
19003.7,18584.404
19221.2,18990.957
18814.648,19241.213
19002.916,18822.998
19191.184,19102.172
19379.45,19356.264
20824.1,19449.904
20157.479,20271.016
20109.75,20076.895
20317.53,19889.807
20364.75,19995.51
20196.18,20206.523
19908.75,19918.957
19483.83,19177.807
18784.03,18470.068
17956.25,17758.857
17180.45,17289.65
17233.148,17131.438
20310.969,17312.965
19528.219,19608.09
18995.898,19200.791
18736.78,18491.74
18378.68,18001.904
17896.549,17739.773
17530.1,17579.21
16815.58,17259.242
16895.0,17037.879
16980.693,17078.697
17066.387,17189.762
17152.08,17613.719
18008.129,17909.344
19004.469,18192.916
19815.92,19337.996
20176.45,20066.72
20419.129,20287.031
20225.102,20382.71
20031.076,19870.324
19837.049,19283.273
18696.18,18819.154
18231.33,17612.95
17472.6,17458.646
16841.35,17455.639
16455.129,17228.361
15751.72,15907.689
15230.149,15050.407
14241.6,14629.482
13923.419,13806.801
13807.35,13407.7
13556.379,13555.752
14126.85,13650.598
14484.579,14249.47
15109.199,14830.521
15735.749,15613.536
17664.85,16456.18
18468.568,18318.135
19874.969,18902.883
20064.799,19748.545
20466.23,19828.166
20393.07,20208.207
20234.898,20334.646
19898.35,19844.223
19304.299,19261.05
18541.95,18358.795
17425.879,17768.46
16634.75,16801.514
15391.549,16284.092
15123.569,15470.424
14556.6,14762.52
14289.25,14097.46
13910.629,13982.378
14012.31,13936.395
14113.989,14281.126
14215.669,14587.401
14317.35,15004.693
15189.92,15170.883
15781.7295,15859.552
17135.549,16553.568
18565.648,17886.713
19181.379,19106.725
18859.469,19421.104
18971.53,18770.297
18953.75,18549.576
18967.148,18706.834
18914.398,18758.885
18962.75,18694.803
18353.398,18350.246
17652.1,17523.492
16946.729,16687.543
16426.314,16221.213
15905.899,16262.866
18295.28,16025.381
17884.148,17449.346
17242.549,17287.494
17065.25,16729.234
16510.969,16625.496
16194.449,16162.44
16038.799,15966.787
16697.67,16115.969
17018.0,16813.082
16584.914,17175.45
16151.829,17036.43
17632.03,16890.85
17655.889,17958.217
17679.75,17830.05
17791.898,17645.021
18009.08,17721.686
18001.68,17966.287
17856.28,18037.023
17562.799,17826.887
17055.129,17205.943
16399.7,16351.738
15878.529,15846.616
16072.9795,15650.772
16267.43,16301.525
18729.2,16806.256
18166.5,18232.275
17483.648,17936.123
16993.818,17013.316
16760.719,16505.123
16180.199,16266.201
16257.399,15866.275
16712.229,16192.094
15544.829,16677.564
15810.249,15834.354
16075.669,15995.107
18102.35,16487.678
19233.299,18346.34
18454.049,19533.87
18844.83,18895.703
19212.398,18980.064
19149.148,19031.531
19296.129,18990.375
19042.92,18828.115
18639.33,18285.436
17930.219,17933.953
17376.398,17376.605
17101.33,17266.227
16889.879,17618.545
19110.129,17849.158
18562.2,19089.102
17863.03,18526.951
17275.719,17696.102
17204.219,17056.59
16832.5,17034.441
16984.33,16805.877
17361.7,17014.65
17365.03,17347.184
17603.229,17602.584
17841.43,18179.375
18079.629,18587.256
18629.59,18419.244
19179.549,18687.732
18945.42,19214.97
18777.5,19009.42
19036.469,18855.324
19210.6,19012.178
19077.25,19154.457
18342.469,18709.973
18105.648,17697.87
17880.969,17580.266
17186.6,17793.238
17663.85,17935.371
18344.674,18822.7
19025.5,18482.943
18586.7,18730.676
18001.549,18329.785
17500.299,17741.273
16739.6,17286.701
17199.6,16591.498
17848.549,17158.82
18523.398,17768.75
18351.6,18461.742
18179.799,18789.814
18008.0,18921.969
19219.6,18720.594
19247.879,19196.143
19827.52,19162.83
20040.0,19534.441
20207.68,19852.328
20048.92,20100.217
19811.7,19937.535
19312.45,19102.129
18594.7,18358.15
17902.92,17979.562
18673.996,17510.373
19445.072,18503.924
20216.148,19626.148
19689.95,19868.807
19205.25,19086.168
18746.32,18465.182
18479.85,17966.932
18421.129,17697.75
18361.398,18002.371
18779.28,18318.299
19066.25,18874.564
19009.969,19250.275
18472.44,19606.328
17934.91,19534.047
17397.379,18977.812
18016.03,18168.242
18322.17,18493.555
18393.648,18676.611
18721.049,18830.535
18663.629,18990.639
18452.398,18705.271
20057.049,18055.938
21557.549,18828.494
21313.35,20534.854
21069.148,21158.027
20824.95,21244.846
20580.75,21090.195
19661.2,19753.273
18963.25,18401.365
18387.78,17936.105
17683.67,17708.643
17687.062,17272.904
17690.455,17305.662
17693.848,17524.691
17697.24,17574.627
17700.633,17640.188
17704.027,17920.107
17707.42,18356.44
18684.219,18641.92
19424.33,19525.637
20394.479,19993.504
20209.6,20603.814
20413.67,20726.08
20436.299,20606.484
20096.129,20338.84
19961.648,19846.383
19475.5,19323.338
18433.2,18799.924
17539.53,18041.486
16824.95,17362.502
16511.85,16671.389
15775.049,15721.842
15793.899,14841.436
15404.449,15000.12
15603.504,14829.697
15802.56,15324.824
16001.614,15799.321
16200.669,16314.077
17304.5,16528.305
17414.45,17337.633
17747.58,17815.14
18667.7,18144.51
18834.865,19099.871
19002.03,19064.504
18880.629,18911.996
19136.92,18580.904
19211.398,19009.016
19142.969,19021.213
18842.6,18741.281
18455.898,18324.393
17767.469,17733.129
17141.53,17073.041
16478.049,16736.23
16569.5,16481.268
19039.1,16542.664
18611.33,18168.904
18187.83,18027.172
17696.648,17654.156
17393.898,17222.502
17078.17,17086.441
17021.719,17001.91
17645.1,16958.828
17738.719,17591.531
17311.549,17771.799
16884.379,17417.889
18488.799,17071.303
19103.879,18214.264
18471.398,18915.744
18878.129,18302.125
19074.03,18379.752
19007.629,18687.594
19017.52,18658.766
19011.549,18490.166
18480.719,18393.125
17782.42,17847.04
17118.03,17051.207
17145.314,16761.078
17172.6,17120.89
19366.799,17248.031
19000.219,18353.8
18346.08,18219.842
18116.879,17579.146
17626.28,17469.8
17262.648,17120.463
17100.35,16832.6
17530.67,16841.172
18302.95,17202.07
17929.25,17882.59
17555.549,17844.59
18819.299,17751.352
19721.75,18652.4
18920.95,19426.72
19510.35,18940.416
19843.42,19162.523
19705.629,19564.703
19467.18,19399.21
19174.799,18849.805
18494.17,18356.592
17749.299,17648.627
17150.898,17008.855
16159.1,16841.113
17203.01,16562.176
18246.92,17441.605
18102.5,17879.598
17516.6,17604.385
16981.799,17116.252
16480.898,16658.316
16359.199,16333.054
16593.729,16140.835
16726.75,16712.09
17211.78,16942.475
16562.414,17140.865
15913.049,16851.88
17378.58,16405.467
18376.95,17431.436
18069.299,18181.777
18265.92,18180.275
17804.75,18184.81
17860.92,17718.66
17827.25,17619.082
17432.898,17302.605
16921.469,16847.113
16210.1,16241.585
15566.169,15881.953
14792.169,15795.883
15123.379,15661.192
17489.379,15815.864
16978.08,17165.121
16287.02,16913.633
15481.949,16109.435
16083.079,15284.875
15560.72,15763.882
15051.6,15657.644
15806.469,15280.621
16971.78,15974.598
16070.829,16863.047
15169.879,16382.6045
16473.0,15763.412
17468.0,16782.045
17681.95,17607.4
17144.07,17909.346
17367.898,17455.652
17364.0,17554.5
17512.28,17507.514
17518.879,17394.486
16649.5,17079.033
15826.319,16279.516
15280.749,15620.106
14707.92,15271.787
14981.699,15302.712
17912.08,15678.346
