test_y,predicted_values
1379.4117,1365.806
1417.647,1430.2446
1450.0,1474.3833
1497.0588,1479.396
1479.4117,1481.3998
1444.1177,1452.1997
1455.8823,1435.8828
1352.9412,1454.6722
1364.7058,1423.86
1329.4117,1423.1887
1464.7058,1403.7039
1508.8235,1473.7048
1523.5294,1512.1996
1479.4117,1518.5419
1570.5883,1472.7585
1520.5881,1506.5674
1488.2352,1492.4608
1414.7058,1453.0662
1308.8235,1423.5438
1238.2352,1370.8584
1167.647,1306.0148
1205.8823,1246.3708
1229.4117,1250.5366
1220.5881,1284.854
1350.0,1312.3566
1464.7058,1401.2687
1505.8823,1487.7141
1523.5294,1517.5713
1482.3529,1517.6482
1450.0,1486.6753
1373.5294,1465.4734
1341.1765,1402.535
1320.5881,1392.0323
1305.8823,1407.829
1420.5883,1415.93
1458.8235,1458.4327
1511.7646,1495.5862
1529.4117,1522.2844
1488.2352,1510.2577
1497.0588,1468.2684
1473.5294,1439.5054
1364.7058,1387.0132
1385.2941,1321.7285
1338.2352,1328.9055
1311.7646,1318.3813
1332.3529,1314.9062
1338.2352,1325.8396
1361.7646,1373.3848
1355.8823,1426.5525
1364.7058,1440.2893
1382.3529,1441.3209
1385.2941,1427.2694
1435.2941,1409.4258
1379.4117,1423.3267
1364.7058,1375.6509
1402.9412,1354.6248
1326.4705,1395.1011
1382.3529,1388.443
1411.7646,1431.7335
1470.5881,1460.1616
1454.4117,1500.6882
1438.2352,1472.2864
1461.7646,1447.1003
1420.5883,1434.988
1467.647,1379.699
1473.5294,1384.3223
1388.2352,1413.152
1341.1765,1370.7756
1400.0,1328.0684
1332.3529,1360.4092
1364.7058,1342.8529
1335.2941,1354.5564
1408.8235,1374.6521
1438.2352,1439.8086
1452.9412,1467.6912
1438.2352,1478.5239
1367.647,1458.8877
1391.1764,1379.5604
1311.7646,1358.1552
1291.1765,1308.1361
1311.7646,1301.2874
1320.5881,1335.8523
1444.1177,1370.0629
1464.7058,1448.8362
1526.4706,1460.359
1482.3529,1495.989
1502.9412,1458.4037
1473.5294,1445.5537
1455.8823,1438.1154
1402.9412,1421.8632
1447.0588,1396.8258
1458.8235,1400.2517
1314.7058,1434.3257
1347.0588,1341.5496
1297.0588,1328.3757
1300.0,1321.4371
1350.0,1356.3671
1400.0,1384.9324
1426.4706,1404.8142
1382.3529,1420.7052
1361.7646,1377.8071
1305.8823,1351.3982
1314.7058,1297.3921
1294.1177,1294.661
1308.8235,1307.7189
1285.2941,1344.0455
1341.1765,1357.46
1432.3529,1377.2561
1417.647,1434.8921
1411.7646,1433.9114
1317.647,1420.1663
1341.1765,1342.7622
1264.7058,1322.8525
1276.4706,1252.5759
1208.8235,1235.6531
1191.1764,1194.6263
1238.2352,1170.7155
1261.7646,1209.3136
1270.5881,1246.4445
1241.1765,1269.3998
1264.7058,1272.0903
1320.5881,1287.1525
1402.9412,1318.0
1373.5294,1363.5999
1400.0,1353.9564
1347.0588,1352.2877
1291.1765,1313.507
1297.0588,1276.9138
1273.5293,1289.7297
1267.647,1301.9863
1352.9412,1315.5393
1388.2352,1363.407
1432.3529,1390.9613
1414.7058,1407.6106
1405.8823,1380.977
1376.4706,1363.2288
1379.4117,1325.8881
1300.0,1317.023
1238.2352,1284.4648
1276.4706,1239.6277
1294.1177,1266.794
1226.4705,1298.0264
1276.4706,1269.838
1214.7058,1291.5332
1270.5881,1287.2941
1355.8823,1320.9321
1476.4706,1360.4319
1488.2352,1432.6027
1417.647,1436.9214
1452.9412,1366.9634
1391.1764,1366.4309
1420.5883,1350.8525
1329.4117,1391.7211
1323.5293,1364.4807
1397.0588,1377.7848
1473.5294,1408.3497
1500.0,1456.5665
1467.647,1470.8331
1505.8823,1430.1505
1420.5883,1435.8618
1350.0,1374.884
1244.1177,1307.967
1726.4706,1231.641
1489.7058,1512.0431
1252.9412,1462.0553
1191.1764,1313.7542
1217.647,1229.4119
1279.4116,1261.3206
1297.0588,1313.8052
1367.647,1356.2458
1441.1764,1421.5671
1476.4706,1434.5012
1502.9412,1443.4125
1420.5883,1438.2958
1344.1177,1373.4348
1388.2352,1323.024
1341.1765,1362.8826
1358.8235,1391.2102
1432.3529,1397.9377
1541.1765,1434.4412
1517.647,1524.5054
1544.1177,1508.0215
1485.2941,1508.3727
1517.647,1458.0836
1455.8823,1465.5197
1308.8235,1426.2083
1291.1765,1354.4209
1258.8235,1263.7582
1326.4705,1212.8682
1258.8235,1274.9011
1323.5293,1290.6647
1250.0,1344.8416
1355.8823,1328.4763
1376.4706,1409.7351
1497.0588,1427.7798
1455.8823,1479.0867
1435.2941,1442.559
1426.4706,1424.1027
1405.8823,1407.9235
1282.3529,1392.5186
1282.3529,1323.3842
1326.4705,1329.5938
1402.9412,1376.1553
1511.7646,1434.2537
1517.647,1490.085
1532.3529,1501.9506
1538.2352,1492.6769
1473.5294,1473.1045
1405.8823,1435.9226
1285.2941,1395.545
1211.7646,1330.8044
1205.8823,1235.853
1247.0588,1207.0
1223.5293,1236.69
1264.7058,1259.0916
1229.4117,1281.634
1308.8235,1301.8268
1300.0,1364.2253
1435.2941,1363.2686
1497.0588,1431.1147
1520.5881,1466.7554
1485.2941,1490.2422
1429.4117,1445.4851
1382.3529,1410.4585
1347.0588,1391.3196
1314.7058,1388.9606
1405.8823,1388.2526
1502.9412,1441.1215
1541.1765,1511.215
1538.2352,1533.2435
1479.4117,1512.8173
1523.5294,1445.5095
1385.2941,1447.1011
1444.1177,1371.3918
1376.4706,1417.1047
1308.8235,1395.8579
1329.4117,1330.3638
1367.647,1318.2491
1323.5293,1364.5347
1305.8823,1369.047
1355.8823,1372.0049
1541.1765,1448.3115
1591.1765,1577.3359
1608.8235,1596.6924
1505.8823,1588.7295
1447.0588,1501.3147
1420.5883,1433.5219
1402.9412,1403.2451
1408.8235,1403.4646
1402.9412,1439.9656
1529.4117,1468.8085
1617.647,1563.3335
1597.0588,1615.4229
1652.9412,1613.1571
1541.1765,1596.2471
1514.7058,1527.245
1505.8823,1475.2537
1417.647,1476.1848
1423.5293,1432.7966
1417.647,1412.022
1470.5881,1407.9039
1429.4117,1451.0645
1332.3529,1437.9259
1326.4705,1399.1299
1405.8823,1419.7035
1476.4706,1479.4036
1550.0,1523.7805
1558.8235,1555.1755
1367.647,1555.0295
1279.4116,1418.1416
1276.4706,1308.1982
1350.0,1297.5532
1326.4705,1362.5232
1311.7646,1394.8759
1473.5294,1412.0319
1508.8235,1509.682
1582.3529,1544.6909
1541.1765,1569.8354
1511.7646,1540.3734
1476.4706,1497.8689
1452.9412,1443.2377
1447.0588,1424.4587
1473.5294,1438.9479
1488.2352,1437.2848
1502.9412,1440.8997
1494.1176,1454.3596
1494.1176,1464.7458
1520.5881,1508.7976
1561.7646,1546.7046
1552.9412,1581.1494
1558.8235,1575.8696
1547.0588,1573.6371
1558.8235,1538.8264
1482.3529,1519.3397
1423.5293,1475.03
1447.0588,1435.3517
1429.4117,1438.9658
1464.7058,1472.9375
1535.2941,1516.329
1566.6666,1564.4382
1598.0392,1594.2234
1629.4117,1600.6235
1626.4706,1603.4808
1585.2941,1589.9
1564.7058,1560.6434
1511.7646,1534.5784
1547.0588,1524.2915
1488.2352,1530.9417
1491.1765,1487.4358
1414.7058,1471.9468
1502.9412,1432.7349
1520.5881,1495.2179
1552.9412,1544.4464
1564.7058,1610.8982
1652.9412,1617.6367
1629.4117,1648.2332
1582.3529,1608.8601
1470.5881,1561.3672
1414.7058,1468.138
1400.0,1410.8975
1379.4117,1410.3591
1464.7058,1441.7479
1573.5294,1533.1516
1632.3529,1614.7751
1720.5883,1644.4869
1714.7058,1679.7845
1664.7058,1668.0533
1652.9412,1630.5979
1658.8235,1600.3723
1570.5883,1603.3098
1664.7058,1547.8711
1467.647,1602.7301
1450.0,1518.6345
1508.8235,1467.8627
1558.8235,1508.3237
1570.5883,1583.6941
1617.647,1615.2356
1655.8823,1652.9995
1579.4117,1679.0046
1644.1177,1601.8473
1552.9412,1576.8835
1476.4706,1511.336
1432.3529,1454.9363
1455.8823,1434.7738
1435.2941,1481.2795
1438.2352,1514.0177
1564.7058,1520.1543
1723.5294,1608.142
1785.2941,1715.6123
1758.8235,1774.689
1744.1177,1742.2084
1755.8823,1703.5952
1652.9412,1678.6494
1594.1177,1598.1085
1614.7058,1560.6444
1523.5294,1559.5563
1508.8235,1523.3591
1488.2352,1510.7417
1532.3529,1506.6157
1497.0588,1538.9977
1573.5294,1528.5546
1579.4117,1591.0391
1602.9412,1600.3007
1608.8235,1593.228
1600.0,1559.719
1517.647,1546.0164
1450.0,1506.9883
1482.3529,1473.5149
1464.7058,1503.4423
1514.7058,1538.7135
1626.4706,1598.1301
1655.8823,1681.7196
1673.5294,1694.5033
1691.1765,1678.1049
1717.647,1650.7335
1711.7646,1653.1368
1623.5294,1633.2684
